,시나리오 대사 및 관련 퀘스트 목록,,,,,,,,,는 '으로 표기'  줄바꿈 = \n' 공백포함 최대 27자
,32,,,,,오늘 정말 수고 많으셨어요!\n바다는 밤에는 들어갈 수 없으니까\n집에서 푹 주무셔요!,퀘스트 팝업,q_tuto_6,,
5,33,,tuto_1_5,,강재원,오셨네요! 어제 처음으로 해녀 초보로 맛보기 해보셨는데\n어때요? 근육통은 괜찮아요?,,,,
,34,,,,백하나,네' 괜찮은 것 같아요.\n그런데 리더님한테는..?,,,,
,35,,,,강재원,아' 그 부분은 벌써 말씀드려놨죠!\n이제 오실 때가 됐는데...,,,,
,36,,,,강재원,앗' 그러고 보니 오늘은 다영 누님은 쉬는 날이고\n제 친누나가 나오는 날이예요!,,,,
,37,,,,강민서,오 안녕! 너가 어제 재원이 말한 그 신입이구나?\n아직 신입이라고 확정할 수는 없겠지만...ㅎㅎ,,,,
,38,,,,,반갑다! 어려보이는데 재원이랑 나이대가\n비슷한 거지?,,,,
,,,,,,나는 재원이랑 10살 차이 나는 친누나야!,,,,
,,,,,,재원이가 수다스러워도 참아주렴!\n이래뵈도 심성은 착한 애거든!,,,,
,39,,,,강재원,이래뵈도라니 누나!,,,,
,40,,,,윤수연,크흠! 네가 어제 재원이가 말한\n해녀가 되고 싶다는 아이냐?,,,,
,41,,,,백하나,네! 안녕하세요' 백하나 라고 합니다...!,,,,
,42,,,,윤수연,그래.. 어제 잠깐 바다에 들어갔다 나왔다고\n들었는데' 내 눈으로 직접 실력을 보기 전까지\n너는 우리 해녀 조직에 들어올 수 없다.,,,,
,43,,,,,그냥 한번 해보고 싶다는 생각으로 이 일을\n하려는 심산이면 당장 그만두고 도시로 올라가야\n할거야.,,,,
,44,,,,강하나,...그렇게 가벼운 생각으로 해녀를 하고 싶은 건\n아닙니다.,,,,
,45,,,,윤수연,흠' 그러면 일단 너의 각오를 봐야 겠다.\n그 다음에 너를 신입으로 들여올지 고민해보도록 하지.,,,,
,46,,,,,30초 이하로 전복 3개' 감태 2개' 살오징어 1개를\n수집해오도록.,퀘스트 팝업,q_tuto_7,,
6,47,,,,윤수연,의외이군. 오늘은 여기까지 하도록 하지.,,,,
,48,,,,강재원,수고하셨습니다! 리더님!,,,,
,49,,,,강민서,강재원! 어딜 슬금슬금 퇴근하려고해!\n오늘 할당량은 채워야지!,,,,
,50,,,,백하나,오늘 할당량을 채우지 못하면 어떻게 되나요?,,,,
,51,,,,강민서,그만큼 밀리고 밀려서 나중에 리더님께 들키면\n어마어마한 훈련이 기다리고 있지..,,,,
,52,,,,강재원,앗 그러고보니 제가 리더님께 말씀드려서\n리더님이 하나 씨를 보러 온거니까...\n저희 좀 도와주세요..!,,,,
,53,,,,백하나,어떤 걸 도와드리면 되나요?,,,,
,54,,,,강민서,아~ 신입한테까지 손 벌리면 안되는데~,,,,
,55,,,,백하나,괜찮습니다. 어차피 해녀가 되기 위해서\n빨리 실력을 올려야 하니까요.,,,,
,56,,,,강민서,아~그러면 좀 부탁 좀 할까!,,,,
,57,,,,,우리가 식당일도 겸하고 있어서' 필요한 해산물들이\n있는데~,퀘스트 팝업,q_tuto_8,,
,,,,,,감태 5개' 살 오징어 3개만\n수집해줘!,,,,
7,58,,,,강민서,와! 너무 고마워! 이렇게 빨리 가져와 주다니!\n덕분에 손님들에게 퀄리티 있는 요리를 내어줄 수\n있겠어!,,,,
,59,,,,강재원,우리는 이제 저녁부터 식당 일을 하러 가야돼서..\n내일 또 보자요!,,,,
8,60,,tuto_1_6,방 안 (아침),강민서,하나 씨' 집에 있어요?,,,똑똑 하는 소리,
,61,,,,,아'다름이 아니라! 오늘부터 일주일 정도 식당일이\n너무 바빠져서 하나 씨가 할당량 중에 일부를\n수집해 줬으면 하는데' 괜찮지?,,,,
,,,,,,바다에 나가면 재원이가 항상 있을거야.\n걔한테 수집한 것들을 전해주면 돼!,,,,
,62,,,,백하나,네' 어떤 것들이죠?,,,,
,63,,,,강민서,정말 고마워!\n하나 씨 덕에 우리 식당 망할 일은 없겠다!\n너무 든든해!,퀘스트 팝업,q_tuto_9,,
,,,,,,보자보자' 전복 10개' 굴 7개' 대개 5개' 가다랑어 5개\n정도면 될 것 같아!,,,,
,,,,,,아' 이건 오늘 내로는 아니고'\n하나 씨가 할 수 있는 만큼만 해주면 돼!,,,,
,,,,,,가능한한 빨리면 좋겠지만 무리할 필요는 없어!\n잘해보자!,,,,
9,64,,,해변,강재원,오 좋은 아침이예요! 아침은 드셨어요?\n제 누나한테 얘기 들으셨죠? 요즘 식당일이 점점\n바빠져서 일손이 너무 부족하긴 해요!,,,,
,65,,,,이다영,하지만 그거랑은 별개로' 실력을 높이기 위해서는\n잠수하는 시간을 늘릴 필요가 있지!,,,,
,66,,,,,이번에는 6m까지 잠수하는 걸 목표로 해보자!\n꼭 오늘까지 안해도 괜찮아. 대신 6m까지\n내려가는데에 성공하면' 리더님을 데려올게!,퀘스트 팝업,q_tuto_10,,
,67,,,,강재원,하나 누나! 누나라고 부르면 돼죠?\n진~짜 안잡히는 종류의 해산물이 있는데'\n이거 잡아주시면 제가 도구 업그레이드 해드릴게요!,,,,
,68,,,,백하나,그럼 나 너한테 반말해도 되지? 어떤 종류인데?\n잠수하다가 보이면 잡아올게.,,,,
,69,,,,강재원,좋아요! 이게 도화 새우라는 녀석인데'\n요새 잘 보이지 않더라구요.\n요거 3마리 정도만 잡아와주세요!,퀘스트 팝업,q_tuto_11,,
10,70,,,,강재원,헉! 도화 새우 벌써 잡아오셨네요!\n보상으로 도구 업그레이드 해드릴게요!\n이제 6m까지는 거뜬히 잠수할 수 있을걸요?!,리워드 획득 팝업 #2,,,
,71,,,,강재원,오! 벌써 저희 누나가 부탁한 할당량을\n가져오셨네요! 이건 누나한테 잘 갖다드릴게요!\n아마 나중에 누나가 뭔가 선물을 줄거예요!,,,,
,72,,,,이다영,오! 이제 6m까지는 거뜬히 잠수 할 수 있겠네!\n내일 리더님을 부를테니까 테스트 화이팅 이야!,,,,
11,73,,tuto_1_7,,윤수연,그래' 벌써 몇 일 만에 6m까지 내려가는 데에\n성공했다고?,,,,
,74,,,,이다영,네! 저희 안그래도 일손도 부족한데'\n신입으로 영입하기에는 최적의 사람 아닌가요!ㅎㅎ,,,,
,75,,,,윤수연,그렇게 간단하게는 안되지! 자' 두 번째 테스트다!,퀘스트 팝업,q_tuto_12,,
,,,,,,7m까지 내려가서 소라' 해삼' 다시마를 3개씩 수집해 오너라!\n시간은 n초면 충분하겠지? ,,,,
,76,,,,강재원,아' 그러고보니 오늘치 할당량을 또 누나가\n알려줬어요.,퀘스트 팝업,q_tuto_13,,
,,,,,,이번에는 굴 3개' 감태 3개' 가오리 2개를 수집해줘요!\n이번에는 보상이 있으니까 힘내라구요!,,,,
12,77,,,,강재원,벌써 또 수집해왔군요! 보상으로 도구를\n업그레이드 해드릴게요! 이건 리더님한테는\n비밀이예요!,리워드 획득 팝업 #3,,,
,,,,,,얼른 리더님이 내 주신 테스트를 통과하고 와요!,,,,
13,78,,,,윤수연,이번 테스트도 통과했군.\n하지만 이걸로 자네를 우리 조직에 들여오기는 아직\n부족하다.,,,,
,79,,,,이다영,아니' 뭐가 부족한거죠?\n몇 일만에 7m를 내려간 건 정말 대단한 실력\n아니예요?,,,,
,80,,,,윤수연,해녀가 되고 싶은 이유는 뭐지?,,,,
,81,,,,백하나,...,,,,
,82,,,,윤수연,그걸 알려주기 전까지 자네는 우리 해녀단에\n들어올 수 없어.,,,,
,83,,,,강재원,앗 그치만.. 리더님! 아.. 가버리셨네..,,,,
,84,,,,이다영,말 못할 사정이 있을 수도 있겠지만..\n하나 씨' 내 생각에는 그냥 솔직하게 말씀드리는 게\n나을 것 같은데' 어때요?,,,,
,85,,,,백하나,...,,,,
,86,,,,강재원,아! 이 고구마 백개는 먹은 것 같은 답답함!\n어렵네요..,,,,
,,,,,,그럼 일단은 실력으로 압살해서 들어가게 해달라고\n부탁드려보죠 뭐!,,,,
,87,,,,,내일도 화이팅이예요!\n우리에게 큰 도움이 된다는 걸\n입증하면 리더님도 뭐라 말 못하시겠죠!,,,,
,88,,,,,푹 쉬고 내일 봐요!,,,,
14,89,,tuto_1_8,,강재원,좋은 아침이예요' 누나!\n오늘의 할당량을 알려드릴게요!,,,,
,90,,,,,전복 3개' 굴2개' 대게 3개' 꽃개 2개'\n' 다시마 3개' 화살 오징어 1개'\n가다랑어 1개 예요!,,,,
,91,,,,,좀 많죠?? 그치만 리더님께 말씀드릴거라고 하니까\n누나가 이정도는 되야되지 않겠냐고 멋대로..,,,,
,92,,,,,하지만 하나 누나는 실력이 좋으니까\n금방 하실 수 있을거예요!\n오늘도 화이팅 이예요!,퀘스트 팝업,q_tuto_14,,
15,93,,,,,와! 벌써 가져 오셨네요! 역시 하나 누나예요!\n오늘의 할당량을 채우셨으니까\n내일 또 미션을 드릴게요!,,,,
,94,,,,이다영,다음번에는 아마 리더님 10m까지 내려가라고\n하실거니까 이번에는 8m까지 내려가는 데에 도전해보자!,퀘스트 팝업,q_tuto_15,,
,,,,,,이번에 성공하면 보상 두둑히 챙겨줄게!,,,,
16,95,,,,,오! 8m까지 내려가는 거 성공했구나?\n그럼 이번에는 장비를 업그레이드를 해줄게!\n이 정도면 9m까지는 내려갈 수 있을거야!,리워드 획득 팝업 #4,,,
,96,,,,강재원,좋은 아침' 누나! 오늘도 꽤 할당량이 많아요!,,,,
,97,,,,,소라 3개' 조개 2개' 가시배 새우 3개'\n 미역 3개예요!,,,,
,98,,,,,누나라면 거뜬히 해낼 수 있겠죠?\n이제 리더님한테 실력으로 입증해보이는 거예요!,퀘스트 팝업,q_tuto_16,,
17,99,,,,,와! 역시 하나 누나예요!\n보상으로 도구 업그레이드 해드릴게요!,리워드 획득 팝업 #5,,,
,,,,,,이걸로 이제 리더님의 테스트에\n도전할 수 있을 거예요!,,,,
,100,,,,,오늘은 들어가서 푹 쉬고 내일 아침에 최상의\n컨디션으로 바다로 와요! 리더님께 잘 말씀드릴게요!,,,,
,101,,,,백하나,..미안해. 괜히 나때문에 중간에서 고생해서...,,,,
,102,,,,강재원,에이' 말 못할 사정은 누구나 다 있죠!\n저는 하루빨리 일손이 늘어나고' 동료가 늘어나면\n좋겠어요!,,,,
,103,,,,,하나 누나는 왠지 다른 불순한 목적을 가지고 온\n거로는 안보여요! 그냥 단지.. 좀 슬퍼보인달까..,,,,
,104,,,,,하지만 누나는 일을 맡으면 끝까지 묵묵하게\n해오시잖아요! 그것만으로도 저는 저희 해녀단에\n들어오는 거' 충분하다고 봐요!,,,,
,105,,,,,그러니까 내일도 당당히 리더님한테 말씀 드려보세요!\n진심을 담아서! 그거면 충분할 거예요!,,,,
,106,,,,,까칠해 보여도 리더님 은근 마음 약하시니까ㅎㅎ\n화이팅이예요! 내일 봐요!,,,,
18,107,,tuto_1_9,,윤수연,그래' 오늘은 30초만에 10m를 내려가서\n가리비 3개' 꽃개 2개를\n수집해와보거라.,,,,
,108,,,,,다른 팀원들의 요청에 따라 이 테스트에 통과하면\n일단은 견습 해녀로 인정해 주겠다.,,,,
,109,,,,,어차피 인원도 필요하고 밀려있는 일들도 많으니..,,,,
,110,,,,이다영,권투를 빈다' 하나야!,,,,
,111,,,,강재원,할 수 있을 거예요! 테스트 멋지게 통과하고 와요!,퀘스트 팝업,q_tuto_17,,
19,112,,,,윤수연,수고했다. 솔직히 몇 일만에 여기까지 할 수 있으리라고는\n생각하지 못했는데.,,,,
,113,,,,,내일부터 견습생으로 대해주지.\n이건 내 작은 선물이다.,리워드 획득 팝업 #6,,,
,114,,,,강재원,와! 축하해요! 제가 해낼 수 있을 거라고 했죠?!,,,,
,115,,,,이다영,우리 해녀단에 들어온 걸 환영해!\n앞으로 잘 해보자!,,,,
,116,,,,백하나,감사합니다! 열심히 하겠습니다!,,,,
